"","Player","Country","G","WP","Score","Goals","Assists","Shots","Saves"
"162","Hockser","",77,0.5325,24305,45,43,173,120
"163","Lim","au",77,0.4026,23315,53,46,179,121
"164","Sammy","au",77,0.3506,18530,36,42,176,138
"165","Shock","us",77,0.5325,24235,49,43,179,121
"166","Gyro","us",76,0.5,22225,43,62,153,115
"167","SSteve","au",75,0.5467,21171,55,46,203,79
"168","Low5ive","us",72,0.2778,14855,42,24,151,90
"169","Luis","au",71,0.3662,12620,35,27,117,93
"170","Continuum","ch",70,0.2714,14245,32,25,134,101
"171","JHZER","fi",69,0.4058,15220,31,32,143,100
"172","Nomad","us",69,0.4348,17130,41,38,178,103
"173","FaykoW","be",67,0.5224,16365,48,32,148,102
"174","Nemoto","jp",66,0.7273,17720,66,54,215,60
"175","nerd","au",66,0.2273,12145,33,14,134,94
"176","Alpha54","",65,0.6462,21465,48,43,195,89
"177","Gibbs","us",65,0.6,14120,43,38,131,109
"178","GonFreecs","id",65,0.5692,16235,61,48,187,70
"179","JarelNaden","id",65,0.3846,17561,61,29,166,105
"180","Tmon","us",65,0.3231,15800,40,36,152,78
"181","Bork","us",63,0.4603,16610,47,28,171,73
"182","Malakiss","us",63,0.3492,17295,39,32,168,82
"183","Raqua","jp",63,0.5714,15365,58,39,163,79
"184","Yeezy","de",63,0.5714,13850,42,38,130,78
"185","ostyn","us",62,0.4194,14795,32,29,125,77
"186","retals","",62,0.5161,22906,47,40,167,115
"187","SavvySeal","us",59,0.4407,19605,56,36,183,97
"188","Tequilaz","fr",59,0.4068,11880,40,20,101,87
"189","Arsenal","us",58,0.5345,17405,48,26,156,67
"190","Lemonpuppy","us",58,0.3103,14350,32,25,131,101
"191","ReaLize","jp",58,0.7586,19920,65,39,197,85
"192","Laz","us",57,0.4386,14940,44,23,137,80
"193","Mccluvin","gb",57,0.4386,12890,32,21,144,62
"194","ZiNX","sg",57,0.3333,16705,45,34,170,108
"195","Juxta","hk",56,0.4286,15610,57,27,193,73
"196","Timbathy","us",55,0.5455,11240,39,28,110,66
"197","Amoney","us",54,0.3148,11690,29,22,102,92
"198","Kyle Masc","us",54,0.4074,10350,26,24,101,64
"199","DanzhizzLe","nl",53,0.3585,11870,28,21,137,82
"200","Gorocksgo","us",53,0.2264,12745,25,23,118,109
"201","Andom","fi",51,0.4902,13215,35,30,122,76
"202","Huskih","us",50,0.36,10290,29,25,105,58
"203","yeatzy","au",50,0.52,16091,34,25,118,84
"204","EPIIC","my",49,0.3878,11545,29,31,110,77
"205","Lauty","cz",49,0.5102,13785,38,21,130,78
"206","Lunation","gb",49,0.1633,9555,23,22,99,65
"207","Napp","us",49,0.4286,13510,31,30,131,68
"208","Kerwin","hk",48,0.4375,13225,46,26,130,66
"209","Pirates","us",48,0.5208,14520,30,30,122,72
"210","de Boer","es",47,0.7021,11615,42,26,127,61
"211","Tuster","us",47,0.3404,11490,34,15,127,66
"212","Outlast","au",46,0.3043,11800,23,23,104,78
"213","eekso","",44,0.5,14382,34,25,103,55
"214","X3MW","hu",44,0.3864,10420,32,25,113,65
"215","Vive","",43,0.2093,10775,21,14,85,53
"216","Broski","my",42,0.1667,9420,19,12,74,70
"217","Rothie","au",42,0.4762,9070,23,25,87,57
"218","Ghost","au",41,0.439,11620,37,14,105,45
"219","Mikan","jp",41,0.6098,11320,44,16,130,46
"220","PetricK","pl",41,0.3659,10745,22,22,94,46
"221","gucchi","jp",40,0.375,9585,25,23,101,52
"222","Tinny!","sg",40,0.4,7030,17,20,70,40
"223","JoeFreshness","",38,0.5526,12585,37,19,106,52
"224","Slurpee","au",38,0.3421,6810,13,9,64,56
"225","Breezi","",37,0.5135,10615,16,17,85,49
"226","Caro","pt",37,0.3784,8600,16,18,76,49
"227","Jayyyrah","us",37,0.5135,8250,26,24,75,50
"228","Zest","au",37,0.2162,6175,10,6,60,48
"229","Ayro14","my",36,0.3611,8730,25,26,92,45
"230","Bilbo","be",36,0.4167,13074,28,17,103,52
"231","Flakes","nl",35,0.5143,10294,26,20,96,64
"232","Lukorice","au",35,0.6,9430,28,22,106,52
"233","ghostfire","de",34,0.5,8675,19,16,70,52
"234","Juuksey","gb",34,0.1471,8535,25,14,83,71
"235","Lumi","sg",34,0.1471,7155,14,13,64,51
"236","PreM","us",34,0.3529,7570,14,17,76,46
"237","AztraL","",33,0.4545,11695,19,20,73,62
"238","Bell","us",33,0.4242,9774,28,18,78,39
"239","D7","fr",32,0.5938,7430,18,15,62,45
"240","Rafro98","gb",32,0.5,7240,10,13,53,40
"241","Reepex","ch",32,0.5,6570,18,8,70,29
"242","Risky","my",32,0.3125,7690,23,16,78,48
"243","CaioTG1","br",31,0.7097,10435,34,27,106,56
"244","Distan","gb",31,0.3871,8040,21,14,75,41
"245","Gnagflow06","de",31,0.3871,7390,22,11,70,45
"246","Lance","cl",31,0.5484,7015,14,21,64,30
"247","Lime","jp",31,0.7419,7690,29,21,96,29
"248","Noiisey","br",31,0.7097,8025,25,22,77,32
"249","Piksel","dk",31,0.3226,6850,20,16,80,45
"250","Sham","us",31,0.4194,10275,32,17,100,43
"251","Azi","us",30,0.3333,5885,21,15,56,47
"252","change","au",30,0.3667,6965,13,11,55,39
"253","Demokat","",30,0.4333,9570,23,16,86,30
"254","Nizzer","",30,0.3333,6900,16,11,59,58
"255","GCR710","es",29,0.1724,7515,12,12,62,51
"256","GingerNinjaDT9","gb",29,0.1724,5595,19,11,71,29
"257","mye bipod 4shor","gb",29,0.4138,6890,24,10,83,44
"258","penor","au",29,0.5862,6640,17,23,73,36
"259","Radioo","se",29,0.3793,6205,16,13,60,37
"260","Arju","it",28,0.4643,9135,14,18,67,59
"261","Ekon","fr",28,0.3929,8200,16,10,63,37
"262","FaNaTiz","fr",28,0.4643,4700,8,8,41,41
"263","florus","gb",28,0.3214,6870,17,11,56,53
"264","Flux","gb",28,0.6071,10017,23,23,71,52
"265","Jakeypoo","gb",28,0.4643,7970,11,14,52,47
"266","killarnaud","fr",28,0.4643,4945,12,3,44,43
"267","Porto","fr",28,0.3929,7270,9,19,52,41
"268","Yukiss","fr",28,0.3929,10290,27,14,74,42
"269","hageoyazi","jp",27,0.7778,6115,19,24,63,22
"270","Szaro","ar",27,0.5185,6190,18,9,65,31
"271","tenhou","jp",27,0.7778,6735,24,16,70,35
"272","Wais","ar",27,0.3704,6805,21,11,74,42
"273","Wolfsonthemoon","es",27,0.4815,6580,13,10,54,49
"274","Air","us",26,0.5,5640,14,7,61,35
"275","HeavY","de",26,0.4615,5735,11,15,65,33
"276","Hectic","au",26,0.3846,5430,11,5,45,46
"277","Noxes","",26,0.4615,10150,27,12,80,51
"278","PauliepaulNL","nl",26,0.3846,6485,20,13,66,36
"279","Shikuni","pl",26,0.3846,6900,12,11,71,49
"280","TheCar","",26,0.4615,6695,9,17,53,37
"281","Thundah","us",26,0.4615,9765,25,15,66,56
